study;sample;Larcenist_type;type_study;Larcenist_behavior;tips_phylo;sp_plant;sp_genus;plant_family;self_compatible;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Fumero-Caban&Melendez-Ackerman_2013;84;Robbers;Non-Experimental;Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;yes;NA;male;6;6.6;1.592168333;6;5.4;1.102270384;0.200670695;0.019137786
Gallen&Butchart2003;85;Thieves;Non-Experimental;Obligatory;Polemonium_viscosum;Polemonium_viscosum;Polemonium;Polemoniaceae;no;insect-insect;female;22;4.2;3.096;22;4.6;4.268278341;-0.090971778;0.063834233
Gallen&Butchart2003;86;Thieves;Non-Experimental;Obligatory;Polemonium_viscosum;Polemonium_viscosum;Polemonium;Polemoniaceae;no;insect-insect;female;22;102.5;83.958;22;55.45;60.03732173;0.614381085;0.08378322
Gelvez-Zuningaetal2016;87;Robbers;Non-Experimental;NA;Collaea_speciosa;Collaea_speciosa;Collaea;Fabaceae;no;insect-bird;female;570;0.38;1.456;716;0.22;1.52521605;0.546543706;0.092884235
Gelvez-Zuningaetal2016;88;Robbers;Non-Experimental;NA;Collaea_speciosa;Collaea_speciosa;Collaea;Fabaceae;no;insect-bird;visitation;44;3.44;41.56597166;237;17.11;6.965;1.604191617;0.118070882
Gonzalez-Gomez&Valdivia_2005;89;Robbers;Non-Experimental;Facultative;Puya_coerulea;Puya_coerulea;Puya;Bromeliaceae;NA;bird-bird;nectar;30;5.6;8.215838363;30;37.4;54.77225575;-1.898904107;0.143239342
Goulsonetal_2007;90;Robbers;Non-Experimental;Obligatory;Tropaeolum_majus;Tropaeolum_majus;Tropaeolum;Tropaeolaceae;yes;insect-insect;nectar;27;3.8;2.598076211;39;6.52;3.746998799;-0.539873309;0.025781535
Guerraetal_2010;91;Thieves;Non-Experimental;Obligatory;Neoregelia_johanis;Neoregelia_johanis;Neoregelia;Bromeliaceae;NA;insect-insect;nectar;24;9.1;5.388877434;24;13.1;6.368673331;-0.364337817;0.024459673
Guerraetal_2010;92;Thieves;Non-Experimental;Obligatory;Neoregelia_johanis;Neoregelia_johanis;Neoregelia;Bromeliaceae;NA;insect-insect;nectar;24;27.04;15.67673435;24;34.6;15.18683641;-0.246536431;0.022032443
Hansen&Muller2009;93;Thieves;Non-Experimental;Obligatory;Roussea_simplex;Roussea_simplex;Roussea;Rousseaceae;yes;NA;female;15;87;147.1733672;18;505;428.5067094;-1.758650311;0.230778174
