study;sample;Larcenist_type;type_study;tips_phylo;sp_plant;sp_genus;plant_family;Matting_system;players;Type_of_metric;n_larcenist;mean_larcenist;sd_larcenist;n_control;mean_control;sd_control;yi;vi
Elyiahuetak2015;73;Robbers;Non-Experimental;Arctostaphylos_pungens;Arctostaphylos_pungens;Arctostaphylos;Ericaceae;self_incompatible;NA;female;124;41.8;40.08790341;514;40.7;40.80882258;0.026668247;0.009373356
Utelli&Roy2001;188;Robbers;Non-Experimental;Aconitum_lycoctonum;Aconitum_lycoctonum;Aconitum;Ranunculaceae;self_compatible;insect-insect;female;14;3.2;0.748;17;3.1;0.825;0.031748698;0.008068947
Carrio&Guemes2019;30;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;87.2;6.1;20;84.4;90;0.032636929;0.057099871
MacDade&Weeks2004;118;Robbers;Experimental;Aphelandra_sinclairiana;Aphelandra_sinclairiana;Aphelandra;Acanthaceae;self_incompatible;NA;female;174;3;1.83;183;2.9;1.7;0.033901552;0.004016312
Fumero-Caban&Melendez-Ackerman_2013;81;Robbers;Non-Experimental;Pitcairnia_augustifolia;Pitcairnia_augustifolia;Pitcairna;Bromeliaceae;self_compatible;NA;male;6;2.7;0.391918359;6;2.6;0.416413256;0.037740328;0.007751317
Carrio&Guemes2019;31;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;86.7;5.2;20;83.33;5;0.039645255;0.000359876
Varma&Sinu2019;194;Robbers;Non-Experimental;Sesamum_radiatum;Sesamum_radiatum;Sesamum;Pedaliaceae;self_compatible;insect-insect;female;29;0.93;0.25;29;0.89;0.14;0.043963123;0.00334507
Irwin&Brody1999;248;Robbers;Experimental;Ipomopis_aggregata;Ipomopis_aggregata;Ipomopis;Polemoniaceae;self_incompatible;insect-bird;female;15;0.99;0.012909944;15;0.94;0.010327956;0.051825068;1.94E-05
Bergamo&Sazima2018;9;Robbers;Non-Experimental;Crotalaria_vitellina;Crotalaria_vitellina;Crotalaria;Fabaceae;self_compatible;insect-insect;female;30;10.83;1.98;30;10.23;2.37;0.056995481;0.002903229
Zhangetal2009a;233;Robbers;Non-Experimental;Corydalis_incisa;Corydalis_incisa;Corydalis;Papaveraceae;self_incompatible;insect-insect;female;115;70.7;94.369;119;66.6;83.997;0.059740995;0.028859463
Carrio&Guemes2019;32;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;87;4.8;20;81.67;5;0.063221381;0.000339606
Carrio&Guemes2019;33;Robbers;Non-Experimental;Antirrhinum_valentinum;Antirrhinum_valentinum;Antirrhinum_valentinum;Plantaginaceae;self_incompatible;insect-insect;female;20;76.7;5.6;20;71.7;5;0.067410961;0.000509684
